
[BPM],122,,,,,,
[RHYTHM],4,4,BeatsPerMeasure : GridsPerBeat,,,,
[MEASURE],2,,,,,,

SE Data,filename,priority,bread,Volume,Exclude,,command
[SE_01],m01_o_01.mp3,0,0,0,,,LR
[SE_02],none,0,0,0,,,Down
[SE_03],m01_o_06.mp3,0,0,0,,,L-Rot
[SE_04],m01_o_05.mp3,0,0,0,,,R-Rot
[SE_05],m01_o_04.mp3,0,0,0,,,On
[SE_06],m01_o_07.mp3,0,0,0,,,Dash
[SE_07],m01_o_03.mp3,17,0,0,,,fall1
[SE_08],m01_o_08.mp3,18,0,0,,,fall2
[SE_09],m01_o_09.mp3,19,0,0,,,fall3
[SE_10],m01_o_10_2.mp3,20,0,0,,,fall4
[SE_11],none,0,0,0,,,fall5
[SE_12],none,0,0,0,,,lvup
[SE_13],m01_o_11_2.mp3,0,0,0,,,bonus
[SE_14],m01_o_12.mp3,16,0,0,,,dec_1
[SE_15],m01_o_14.mp3,15,0,0,,,dec_2
[SE_16],none,14,0,0,,,dec_st
[SE_17],m01_blk_delete.mp3,13,0,0,,,dec_lp
[SE_18],none,21,0,0,,,rap

Track Data,filename,小节数,循环数,bread,Volume,command,
[TR_01],m01_01.mp3,2,0,0,0,,
[TR_02],m01_02.mp3,1,2,s,0,,
[TR_03],m01_03.mp3,1,2,0,0,,
[TR_04],m01_04.mp3,1,2,s,0,,
[TR_05],m01_05.mp3,1,2,s,0
[TR_06],m01_06.mp3,1,2,s,0
[TR_07],m01_07.mp3,1,2,0,0
[TR_08],m01_08.mp3,1,2,s,0
[TR_09],m01_09.mp3,1,2,s,0
[TR_10],m01_10.mp3,1,2,s,0
[TR_11],m01_11.mp3,1,2,s,0
[TR_12],m01_12.mp3,1,2,s,0
[TR_13],m01_13.mp3,1,2,s,0
[TR_14],m01_14.mp3,1,2,0,0
[TR_15],m01_15.mp3,1,2,s,0
[TR_16],m01_16.mp3,1,2,s,0
[TR_17],m01_17.mp3,1,2,0,0
[TR_18],none,1,2,0,0

Seq Data,playback Track index,,,,
[SEQ_01],1,,,,,<back:255:130:130:110>,<eff_on:spec:40:0:0:0:0>,<eff_on:ab>
[SEQ_02],1,13,,,,<back:255:130:145:150>,,
[SEQ_03],1,13,5,,,<back:255:130:160:140>,,
[SEQ_04],1,2,5,4,,<back:255:120:130:160>,,
[SEQ_05],1,2,5,4,7,,,
[SEQ_06],1,8,4,,,<back:255:130:130:140>,,
[SEQ_07],1,8,4,5,9,<back:255:120:130:140>,,
[SEQ_08],1,11,4,5,12,<back:255:110:130:110>,,
[SEQ_09],1,11,4,12,,,,
[SEQ_10],13,,,,,<back:255:80:80:60>,,
[SEQ_11],5,7,8,,,<back:255:130:130:130>,,
[SEQ_12],5,7,8,6,,,,
[SEQ_13],5,7,8,6,14,,,
[SEQ_14],8,,,,,<back:255:80:80:60>,,
[SEQ_15],1,2,4,5,8,<back:255:110:110:910>,,
[SEQ_16],1,2,14,5,8,,,
[SEQ_17],1,17,,,,<back:255:80:80:60>
[SEQ_18],1,5,2,4,17,<back:255:140:140:160>
[SEQ_19],1,5,7,4,17,
[SEQ_20],1,13,,,,<back:255:80:80:60>
[SEQ_21],1,15,16,,,<back:255:130:150:160>
[SEQ_22],1,15,16,11,,
[SEQ_23],1,6,,,,<back:255:100:100:80>
[SEQ_24],1,6,16,11,13,
[SEQ_25],1,5,6,3,11,
[SEQ_26],1,3,,,,<back:255:100:100:80>
[SEQ_27],1,2,4,3,,
[SEQ_28],1,2,3,5,7,
[SEQ_29],1,2,13,5,7,
[SEQ_30],4,4,,,,<back:255:100:100:80>
[SEQ_31],4,2,,,,<back:255:100:80:100>
[SEQ_32],4,2,14,,,<back:255:160:160:160>
[SEQ_33],4,14,,,,<back:255:80:100:100>
[SEQ_34],4,2,5,,,<back:255:150:150:150>
[SEQ_35],4,2,5,7,,<back:255:60:20:30>
[SEQ_36],1,18,,,,
[SEQ_37],1,5,6,7,,<back:255:140:160:110>
[SEQ_38],1,6,7,8,,
[SEQ_39],1,8,15,16,,
[SEQ_40],1,4,,,,<back:255:100:100:80>
[SEQ_41],1,4,16,17,,<back:255:140:160:110>
[SEQ_42],1,4,,,,
[SEQ_43],4,2,,8,17,
[SEQ_44],4,5,2,17,9,
[SEQ_45] ,4,5,2,17,12,
[SEQ_46],4,16,,,,<back:255:100:80:100>
[SEQ_47],4,3,16,9,17,
[SEQ_48],4,3,16,9,,
[SEQ_49],4,9,,,
[SEQ_50],4,3,5,9,10
